Sample	StartDNA	CyclePCR
1ng.25cycles.1	1ng	25cycles
1ng.25cycles.2	1ng	25cycles
1ng.25cycles.3	1ng	25cycles
1ng.30cycles.1	1ng	30cycles
1ng.30cycles.2	1ng	30cycles
1ng.30cycles.3	1ng	30cycles
20ng.20cycles.1	20ng	20cycles
20ng.20cycles.2	20ng	20cycles
20ng.20cycles.3	20ng	20cycles
20ng.25cycles.1	20ng	25cycles
20ng.25cycles.2	20ng	25cycles
20ng.25cycles.3	20ng	25cycles
5ng.25cycles.1	5ng	25cycles
5ng.25cycles.2	5ng	25cycles
5ng.25cycles.3	5ng	25cycles
zero5ng.25cycles.1	05ng	25cycles
zero5ng.25cycles.2	05ng	25cycles
zero5ng.25cycles.3	05ng	25cycles
zero5ng.30cycles.1	05ng	30cycles
zero5ng.30cycles.2	05ng	30cycles
zero5ng.30cycles.3	05ng	30cycles
